gender,eye_color,hair_color,skin_tone,face_width,face_height,jaw_shape,chin_prominence,cheekbone_height,nose_size,nose_width,nose_bridge_width,nose_bridge_height,nostril_width,eye_distance,eye_size,eye_shape,eyebrow_thickness,eyebrow_arch,lip_thickness,mouth_width,philtrum_depth,hair_texture,hair_thickness,hairline_shape,freckling,tanning_ability,ear_size,earlobe_attachment,overall_confidence,sample_id
male,brown,brown,very_light,wide,long,square,receding,medium,medium,wide,medium,flat,wide,normal,medium,round,thick,flat,full,wide,medium,straight,medium,straight,none,burns_easily,small,attached,0.8399939495157048,SYNTH_000000
male,blue,brown,very_light,medium,long,oval,receding,medium,medium,medium,wide,medium,medium,normal,large,round,medium,high,very_full,medium,medium,wavy,thick,rounded,none,never_burns,medium,attached,0.8384605492703606,SYNTH_000001
female,green,auburn,very_light,medium,long,oval,medium,medium,small,medium,wide,medium,wide,wide,small,round,medium,slight,very_full,medium,medium,wavy,thick,rounded,some,never_burns,large,free,0.8442135373973166,SYNTH_000002
female,green,brown,very_light,wide,long,narrow,prominent,high,small,medium,medium,medium,wide,normal,large,hooded,thick,high,very_full,wide,medium,curly,fine,rounded,extensive,burns_easily,medium,free,0.8557843036211088,SYNTH_000003
male,blue,brown,very_light,wide,long,square,medium,medium,large,wide,wide,medium,medium,close,large,almond,medium,high,very_full,wide,deep,wavy,thick,widow_peak,extensive,burns_easily,medium,attached,0.8095831479968052,SYNTH_000004
male,blue,black,very_light,medium,long,square,prominent,high,large,wide,wide,medium,medium,close,small,round,medium,high,very_full,wide,deep,wavy,medium,rounded,some,tans_gradually,large,free,0.8292966096861081,SYNTH_000005
male,blue,brown,very_light,narrow,medium,square,medium,medium,medium,medium,narrow,medium,wide,wide,large,round,thick,high,full,wide,deep,wavy,thick,widow_peak,some,tans_gradually,small,free,0.9000822068491242,SYNTH_000006
female,green,brown,light,medium,long,square,medium,high,large,wide,medium,medium,narrow,close,large,round,thick,slight,thin,wide,shallow,wavy,thick,rounded,none,tans_gradually,medium,free,0.8539196577283599,SYNTH_000007
female,green,black,very_light,medium,medium,oval,medium,medium,medium,wide,wide,high,medium,wide,large,round,thick,high,full,wide,deep,wavy,thick,straight,some,never_burns,large,free,0.8313236820016064,SYNTH_000008
female,green,brown,very_light,narrow,medium,square,medium,low,medium,wide,wide,medium,wide,wide,large,hooded,medium,high,very_full,medium,deep,wavy,medium,widow_peak,none,tans_gradually,medium,free,0.8130378229355181,SYNTH_000009
female,blue,brown,light,wide,medium,square,prominent,medium,large,wide,medium,flat,medium,normal,large,almond,medium,slight,full,medium,deep,wavy,thick,straight,some,tans_gradually,large,attached,0.831509134824801,SYNTH_000010
female,green,brown,very_light,wide,medium,oval,prominent,high,medium,wide,medium,medium,narrow,normal,large,round,thin,high,full,narrow,medium,wavy,thick,rounded,extensive,never_burns,large,free,0.8554225709100601,SYNTH_000011
female,green,black,very_light,medium,medium,oval,medium,low,medium,medium,medium,high,medium,close,large,round,thick,high,thin,wide,deep,straight,fine,rounded,extensive,tans_gradually,large,attached,0.8342489788995396,SYNTH_000012
male,blue,brown,very_light,narrow,long,square,medium,medium,large,wide,wide,medium,medium,normal,small,hooded,thin,slight,full,wide,medium,wavy,medium,widow_peak,some,never_burns,medium,free,0.8572086294630361,SYNTH_000013
female,blue,brown,very_light,narrow,short,square,medium,medium,small,wide,wide,high,wide,normal,medium,almond,thick,high,full,medium,deep,wavy,thick,widow_peak,extensive,never_burns,large,free,0.8252241239730456,SYNTH_000014
female,green,brown,very_light,medium,medium,square,prominent,low,large,medium,wide,high,narrow,normal,large,round,medium,high,full,wide,deep,wavy,medium,rounded,extensive,never_burns,large,free,0.8523613464202643,SYNTH_000015
male,brown,brown,dark,narrow,medium,square,medium,medium,large,narrow,wide,medium,medium,close,large,almond,medium,slight,full,narrow,deep,curly,thick,rounded,none,never_burns,small,free,0.8471842440534664,SYNTH_000016
male,brown,brown,very_light,wide,medium,square,receding,high,large,medium,wide,high,medium,wide,large,round,medium,high,very_full,narrow,deep,curly,medium,rounded,extensive,tans_gradually,medium,free,0.866346419101257,SYNTH_000017
male,green,auburn,very_light,wide,long,square,prominent,medium,medium,wide,medium,medium,narrow,normal,large,round,medium,high,thin,medium,deep,curly,thick,widow_peak,extensive,never_burns,medium,attached,0.7961171058422384,SYNTH_000018
female,blue,brown,very_light,medium,long,oval,medium,low,medium,wide,medium,high,wide,close,small,round,medium,high,very_full,wide,medium,wavy,thick,rounded,some,tans_gradually,medium,attached,0.8234899651206813,SYNTH_000019
female,green,brown,very_light,wide,medium,square,receding,medium,large,wide,medium,medium,medium,normal,large,almond,thin,high,full,narrow,deep,straight,thick,straight,some,tans_gradually,medium,free,0.842246774275617,SYNTH_000020
male,blue,brown,very_light,wide,medium,square,prominent,high,large,wide,wide,medium,wide,normal,large,round,thick,slight,full,narrow,medium,wavy,thick,rounded,extensive,never_burns,large,attached,0.8522498264024211,SYNTH_000021
female,green,brown,very_light,medium,medium,square,medium,medium,medium,narrow,narrow,flat,medium,close,large,round,thick,flat,full,medium,deep,wavy,thick,rounded,some,never_burns,small,attached,0.8277980842445283,SYNTH_000022
male,green,brown,light,medium,medium,square,medium,medium,medium,medium,medium,medium,medium,normal,large,round,medium,high,very_full,medium,deep,wavy,medium,straight,some,burns_easily,medium,attached,0.8433861295996142,SYNTH_000023
male,blue,black,light,medium,short,square,medium,medium,large,wide,medium,medium,medium,normal,medium,hooded,medium,slight,full,narrow,medium,straight,thick,straight,some,never_burns,medium,attached,0.8162030123758216,SYNTH_000024
male,green,brown,light,medium,long,oval,prominent,medium,medium,medium,medium,medium,narrow,wide,large,round,thin,slight,very_full,wide,deep,straight,thick,rounded,extensive,tans_gradually,medium,free,0.7832981732648934,SYNTH_000025
male,green,black,very_light,medium,medium,square,receding,high,medium,narrow,wide,medium,wide,normal,large,round,medium,flat,very_full,medium,medium,straight,thick,rounded,none,tans_gradually,large,attached,0.8263331612031231,SYNTH_000026
female,green,brown,light,wide,medium,square,medium,high,medium,wide,medium,high,narrow,normal,large,hooded,medium,slight,full,wide,deep,straight,medium,rounded,extensive,burns_easily,large,attached,0.8423427176108059,SYNTH_000027
female,blue,brown,very_light,medium,medium,square,receding,high,large,medium,medium,high,medium,normal,large,round,thick,slight,full,medium,deep,curly,thick,widow_peak,some,tans_gradually,medium,free,0.8482629857645266,SYNTH_000028
male,green,brown,light,narrow,long,narrow,prominent,high,medium,medium,wide,medium,medium,normal,large,round,medium,slight,very_full,wide,deep,straight,fine,widow_peak,extensive,burns_easily,medium,attached,0.8566830405854196,SYNTH_000029
male,green,brown,dark,narrow,medium,square,medium,high,large,narrow,wide,high,wide,close,large,round,thin,slight,very_full,medium,deep,wavy,medium,rounded,some,never_burns,medium,free,0.811379771604103,SYNTH_000030
male,green,blonde,very_light,wide,short,square,prominent,medium,large,wide,medium,medium,medium,wide,medium,almond,thin,slight,full,wide,medium,wavy,medium,widow_peak,some,never_burns,medium,attached,0.8453420191433257,SYNTH_000031
male,blue,black,light,medium,medium,square,receding,medium,large,medium,medium,flat,narrow,normal,large,round,medium,flat,full,narrow,deep,curly,medium,straight,some,never_burns,medium,attached,0.8245691583297895,SYNTH_000032
female,brown,brown,very_light,narrow,long,square,medium,medium,medium,medium,narrow,high,medium,close,medium,round,thick,slight,very_full,medium,medium,curly,thick,straight,none,tans_gradually,large,attached,0.8402575867508694,SYNTH_000033
female,blue,brown,very_light,medium,medium,square,medium,low,medium,wide,medium,high,medium,normal,medium,round,medium,slight,very_full,wide,deep,wavy,fine,widow_peak,extensive,tans_gradually,large,attached,0.8367898970388802,SYNTH_000034
female,green,brown,light,narrow,medium,square,prominent,medium,medium,wide,wide,flat,medium,wide,small,round,thin,high,full,medium,deep,wavy,medium,widow_peak,some,tans_gradually,small,attached,0.8826363633216833,SYNTH_000035
female,green,brown,very_light,medium,medium,oval,prominent,high,medium,medium,medium,medium,medium,normal,medium,round,thick,slight,thin,narrow,deep,wavy,medium,widow_peak,extensive,tans_gradually,medium,attached,0.9011347951937128,SYNTH_000036
male,green,black,very_light,medium,medium,square,prominent,high,medium,wide,wide,medium,medium,wide,large,hooded,thick,flat,full,wide,deep,curly,thick,rounded,some,burns_easily,small,attached,0.836521666153122,SYNTH_000037
female,brown,brown,very_light,medium,short,square,prominent,low,medium,medium,wide,flat,wide,normal,large,round,medium,slight,thin,medium,deep,wavy,medium,straight,some,tans_gradually,medium,free,0.8545541595646367,SYNTH_000038
male,blue,red,very_light,wide,long,oval,receding,high,medium,wide,medium,flat,narrow,normal,large,almond,medium,slight,full,medium,deep,straight,fine,widow_peak,some,tans_gradually,small,free,0.8157522326202222,SYNTH_000039
female,blue,brown,very_light,wide,medium,oval,medium,low,medium,medium,wide,high,wide,normal,large,round,thick,high,full,medium,medium,wavy,medium,widow_peak,extensive,never_burns,small,attached,0.8539339517461052,SYNTH_000040
