sex,eye_color,hair_color,skin_tone,face_width,face_height,jaw_shape,chin_prominence,cheekbone_height,nose_size,nose_width,nose_bridge_width,nose_bridge_height,nostril_width,eye_distance,eye_size,eye_shape,eyebrow_thickness,eyebrow_arch,lip_thickness,mouth_width,philtrum_depth,hair_texture,hair_thickness,hairline_shape,freckling,tanning_ability,ear_size,earlobe_attachment,overall_confidence,sample_id
female,green,brown,very_light,medium,medium,square,prominent,medium,medium,medium,wide,medium,medium,normal,large,almond,thick,slight,very_full,medium,medium,straight,medium,rounded,extensive,tans_gradually,large,attached,0.8769594074660018,SYNTH_000000
male,blue,brown,very_light,medium,medium,square,medium,high,large,medium,medium,medium,medium,wide,medium,round,thick,flat,thin,medium,deep,wavy,fine,rounded,extensive,tans_gradually,large,free,0.8346791402442826,SYNTH_000001
male,blue,blonde,very_light,medium,long,oval,medium,medium,small,medium,wide,high,narrow,normal,small,almond,thick,slight,very_full,medium,medium,wavy,medium,straight,some,burns_easily,medium,attached,0.8449018085465764,SYNTH_000002
female,blue,brown,very_light,narrow,long,square,prominent,high,large,medium,medium,flat,medium,normal,medium,round,thick,slight,thin,wide,deep,wavy,thick,straight,none,never_burns,medium,attached,0.8279497875886388,SYNTH_000003
female,blue,brown,very_light,wide,short,oval,medium,medium,small,wide,medium,medium,narrow,normal,small,round,thick,high,thin,wide,medium,wavy,thick,rounded,some,tans_gradually,large,attached,0.8312965579143319,SYNTH_000004
female,blue,brown,very_light,wide,short,oval,receding,medium,medium,medium,medium,flat,medium,wide,medium,hooded,thick,flat,very_full,wide,medium,curly,medium,rounded,some,never_burns,large,attached,0.8272869508294136,SYNTH_000005
male,blue,brown,light,wide,medium,square,receding,low,small,wide,medium,medium,medium,normal,large,hooded,medium,high,very_full,wide,shallow,wavy,fine,rounded,some,never_burns,large,attached,0.8564346865591782,SYNTH_000006
male,blue,black,very_light,wide,short,square,prominent,medium,medium,narrow,narrow,high,medium,wide,medium,almond,thick,high,very_full,wide,medium,straight,fine,widow_peak,extensive,never_burns,medium,attached,0.8523093037452707,SYNTH_000007
female,blue,black,very_light,medium,long,narrow,medium,high,small,narrow,wide,high,medium,wide,medium,almond,medium,flat,full,wide,medium,straight,medium,widow_peak,some,tans_gradually,large,attached,0.821166822960241,SYNTH_000008
female,green,brown,very_light,medium,long,square,medium,medium,medium,wide,medium,high,narrow,wide,medium,round,medium,slight,full,wide,deep,wavy,thick,widow_peak,some,never_burns,medium,attached,0.8709857537726391,SYNTH_000009
female,blue,brown,very_light,medium,medium,square,prominent,medium,large,medium,medium,flat,wide,normal,large,hooded,medium,slight,thin,medium,shallow,straight,medium,rounded,some,tans_gradually,large,free,0.9086861451954513,SYNTH_000010
male,blue,brown,dark,medium,medium,square,prominent,medium,medium,medium,wide,flat,narrow,wide,medium,round,thick,slight,full,medium,shallow,straight,thick,rounded,none,tans_gradually,large,free,0.9191068330166076,SYNTH_000011
male,blue,black,light,wide,medium,oval,medium,medium,small,wide,medium,medium,medium,normal,medium,round,thick,high,full,wide,medium,curly,fine,rounded,some,never_burns,medium,attached,0.8516707801559276,SYNTH_000012
